landmarkid,landmarkname,century,type,height,artstyle,cityname,countryname,architectname,architectsurname
1,Eiffel Tower,19,Observation tower,324,undefined,Paris,France,Stephen,Sauvestre
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,Frank,Anatole
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,Joanna,Bailey
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,Nic,Bailey
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,Julia,Barfield
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,Steven,Chilton
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,Malcolm,Cook
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,David,Marks
2,London Eye,20,Observation wheel,135,modern,London,United Kingdom,Mark,Sparrowhawk
3,Sagrada Familia,19,Minor basilica,170,neoclassic,Barcelona,Spain,Antoni,Gaudi
4,Statue of Liberty,19,Statue,93,neoclassic,New York,United States of America,Frédéric Auguste,Bartholdi
5,Saint Basils Cathedral,16,Cathedral,48,undefined,Moscow,Russia,Ivan,Barma
5,Saint Basils Cathedral,16,Cathedral,48,undefined,Moscow,Russia,Postnik,Yakovlev
6,Taj Mahal,17,Mausoleum,73,mughal,Agra,India,Ustad Ahmad,Lahauri
7,Sydney Opera House,20,Performing arts centre,65,expressionism,Sydney,Australia,Jorn,Utzon
8,Big Ben,19,Clock tower,96,gothic,London,United Kingdom,Augustus,Pugin
9,Colosseum,1,Amphitheatre,48,Ancient Roman,Rome,Italy,Titus,Vespasian
10,Christ the Redeemer,21,Statue,30,art deco,Rio de Janero,Brazil,Paul,Landowski
10,Christ the Redeemer,21,Statue,30,art deco,Rio de Janero,Brazil,Heitor da Silva,Costa
10,Christ the Redeemer,21,Statue,30,art deco,Rio de Janero,Brazil,Gheorghe,Leonida
10,Christ the Redeemer,21,Statue,30,art deco,Rio de Janero,Brazil,Albert,Caquot
